prize,category,year,status,title,author
Arthur C. Clarke,Best Novel,1997,Nominee,Blue Mars,Kim Stanley Robinson
Arthur C. Clarke,Best Novel,1997,Nominee,Voyage,Stephen Baxter
Arthur C. Clarke,Best Novel,1997,Nominee,The Engines of God,Jack McDevitt
Arthur C. Clarke,Best Novel,1997,Nominee,Looking for the Mahdi,N. Lee Wood
Arthur C. Clarke,Best Novel,1997,Nominee,Gibbon's Decline and Fall,Sheri S. Tepper
Arthur C. Clarke,Best Novel,1996,Nominee,The Diamond Age,Neal Stephenson
Arthur C. Clarke,Best Novel,1996,Nominee,The Prestige,Christopher Priest
Arthur C. Clarke,Best Novel,1996,Nominee,The Time Ships,Stephen Baxter
Arthur C. Clarke,Best Novel,1996,Nominee,The Star Fraction,Ken MacLeod
Arthur C. Clarke,Best Novel,1996,Nominee,Happy Policeman,Patricia Anthony
Arthur C. Clarke,Best Novel,1995,Nominee,Mother of Storms,John Barnes
Arthur C. Clarke,Best Novel,1995,Nominee,Towing Jehovah,James Morrow
Arthur C. Clarke,Best Novel,1995,Nominee,Pasquale's Angel,Paul J. McAuley
Arthur C. Clarke,Best Novel,1995,Nominee,Alien Influences,Kristine Kathryn Rusch
Arthur C. Clarke,Best Novel,1995,Nominee,North Wind,Gwyneth Jones
Arthur C. Clarke,Best Novel,1994,Nominee,Snow Crash,Neal Stephenson
Arthur C. Clarke,Best Novel,1994,Nominee,The Iron Dragon's Daughter,Michael Swanwick
Arthur C. Clarke,Best Novel,1994,Nominee,A Million Open Doors,John Barnes
Arthur C. Clarke,Best Novel,1994,Nominee,The Broken God,David Zindell
Arthur C. Clarke,Best Novel,1994,Nominee,Ammonite,Nicola Griffith
Arthur C. Clarke,Best Novel,1993,Nominee,Doomsday Book,Connie Willis
Arthur C. Clarke,Best Novel,1993,Nominee,Red Mars,Kim Stanley Robinson
Arthur C. Clarke,Best Novel,1993,Nominee,Stations of the Tide,Michael Swanwick
Arthur C. Clarke,Best Novel,1993,Nominee,Destroying Angel,Richard Paul Russo
Arthur C. Clarke,Best Novel,1993,Nominee,"Hearts, Hands and Voices",Ian McDonald
Arthur C. Clarke,Best Novel,1993,Nominee,Lost Futures,Lisa Tuttle
Arthur C. Clarke,Best Novel,1993,Nominee,Correspondence,Sue Thomas
Arthur C. Clarke,Best Novel,1992,Nominee,Hyperion,Dan Simmons
Arthur C. Clarke,Best Novel,1992,Nominee,The Fall of Hyperion,Dan Simmons
Arthur C. Clarke,Best Novel,1992,Nominee,Raft,Stephen Baxter
Arthur C. Clarke,Best Novel,1992,Nominee,White Queen,Gwyneth Jones
Arthur C. Clarke,Best Novel,1992,Nominee,Eternal Light,Paul J. McAuley
Arthur C. Clarke,Best Novel,1992,Nominee,Subterranean Gallery,Richard Paul Russo
Arthur C. Clarke,Best Novel,1991,Nominee,Use of Weapons,Iain Banks
Arthur C. Clarke,Best Novel,1991,Nominee,"The City, Not Long After",Pat Murphy
Arthur C. Clarke,Best Novel,1991,Nominee,Red Spider White Web,Misha
Arthur C. Clarke,Best Novel,1991,Nominee,Farewell Horizontal,K. W. Jeter
Arthur C. Clarke,Best Novel,1991,Nominee,Rats and Gargoyles,Mary Gentle
Arthur C. Clarke,Best Novel,1990,Nominee,Ivory,Mike Resnick
Arthur C. Clarke,Best Novel,1990,Nominee,A Mask for the General,Lisa Goldstein
Arthur C. Clarke,Best Novel,1990,Nominee,Neverness,David Zindell
Arthur C. Clarke,Best Novel,1990,Nominee,A Child Across the Sky,Jonathan Carroll
Arthur C. Clarke,Best Novel,1990,Nominee,Desolation Road,Ian McDonald
Arthur C. Clarke,Best Novel,1990,Nominee,Soldiers of Paradise,Paul Park
Arthur C. Clarke,Best Novel,1989,Nominee,"Philip K. Dick Is Dead, Alas",Michael Bishop
Arthur C. Clarke,Best Novel,1989,Nominee,The Empire of Fear,Brian Stableford
Arthur C. Clarke,Best Novel,1989,Nominee,Life During Wartime,Lucius Shepard
Arthur C. Clarke,Best Novel,1989,Nominee,Rumors of Spring,Richard Grant
Arthur C. Clarke,Best Novel,1989,Nominee,Whores of Babylon,Ian Watson
Arthur C. Clarke,Best Novel,1989,Nominee,Kairos,Gwyneth Jones
Arthur C. Clarke,Best Novel,1988,Nominee,Fiasco,Stanisław Lem
Arthur C. Clarke,Best Novel,1988,Nominee,Replay,Ken Grimwood
Arthur C. Clarke,Best Novel,1988,Nominee,Memoirs of an Invisible Man,H. F. Saint
Arthur C. Clarke,Best Novel,1988,Nominee,The Solitudes,John Crowley
Arthur C. Clarke,Best Novel,1988,Nominee,Gráinne,Keith Roberts
Arthur C. Clarke,Best Novel,1988,Nominee,Ancient of Days,Michael Bishop
Arthur C. Clarke,Best Novel,1987,Nominee,Eon,Greg Bear
Arthur C. Clarke,Best Novel,1987,Nominee,Green Eyes,Lucius Shepard
Arthur C. Clarke,Best Novel,1987,Nominee,Stars in My Pocket Like Grains of Sand,Samuel R. Delany
Arthur C. Clarke,Best Novel,1987,Nominee,The Memory of Whiteness,Kim Stanley Robinson
Arthur C. Clarke,Best Novel,1987,Nominee,The Ragged Astronauts,Bob Shaw
Arthur C. Clarke,Best Novel,1987,Nominee,Escape Plans,Gwyneth Jones
Arthur C. Clarke,Best Novel,1987,Nominee,Queen of the States,Josephine Saxton
