prize,category,year,status,title,author
Booker,Fiction,2009,Nominee,The Glass Room,Simon Mawer
Booker,Fiction,2009,Nominee,Summertime,J. M. Coetzee
Booker,Fiction,2009,Nominee,Brooklyn,Colm Tóibín
Booker,Fiction,2009,Nominee,Heliopolis,James Scudamore
Booker,Fiction,2009,Nominee,Love and Summer,William Trevor
Booker,Fiction,2009,Nominee,How to Paint a Dead Man,Sarah Hall
Booker,Fiction,2009,Nominee,Me Cheeta,James Lever
Booker,Fiction,2009,Nominee,Not Untrue & Not Unkind,Ed O'Loughlin
Booker,Fiction,2009,Nominee,The Quickening Maze,Adam Foulds
Booker,Fiction,2009,Nominee,The Wilderness,Samantha Harvey
Booker,Fiction,2008,Nominee,Netherland,Joseph O'Neill
Booker,Fiction,2008,Nominee,The Enchantress of Florence,Salman Rushdie
Booker,Fiction,2008,Nominee,The Secret Scripture,Sebastian Barry
Booker,Fiction,2008,Nominee,Sea of Poppies,Amitav Ghosh
Booker,Fiction,2008,Nominee,The Lost Dog,Michelle de Kretser
Booker,Fiction,2008,Nominee,Girl in a Blue Dress,Gaynor Arnold
Booker,Fiction,2008,Nominee,From A to X,John Berger
Booker,Fiction,2008,Nominee,The Clothes on Their Backs,Linda Grant
Booker,Fiction,2008,Nominee,The Northern Clemency,Philip Hensher
Booker,Fiction,2007,Nominee,On Chesil Beach,Ian McEwan
Booker,Fiction,2007,Nominee,The Reluctant Fundamentalist,Mohsin Hamid
Booker,Fiction,2007,Nominee,Gifted,Nikita Lalwani
Booker,Fiction,2007,Nominee,Self Help,Edward Docx
Booker,Fiction,2007,Nominee,The Gift of Rain,Tan Twan Eng
Booker,Fiction,2007,Nominee,Consolation,Michael Redhill
Booker,Fiction,2007,Nominee,Winnie & Wolf,A. N. Wilson
Booker,Fiction,2007,Nominee,What Was Lost,Catherine O'Flynn
Booker,Fiction,2007,Nominee,Mister Pip,Lloyd Jones
Booker,Fiction,2007,Nominee,The Welsh Girl,Peter Ho Davies
Booker,Fiction,2007,Nominee,Darkmans,Nicola Barker
Booker,Fiction,2006,Nominee,Carry Me Down,M. J. Hyland
Booker,Fiction,2006,Nominee,The Night Watch,Sarah Waters
Booker,Fiction,2006,Nominee,Kalooki Nights,Howard Jacobson
Booker,Fiction,2006,Nominee,Get a Life,Nadine Gordimer
Booker,Fiction,2006,Nominee,In the Country of Men,Hisham Matar
Booker,Fiction,2006,Nominee,The Emperor's Children,Claire Messud
Booker,Fiction,2006,Nominee,The Other Side of the Bridge,Mary Lawson
Booker,Fiction,2006,Nominee,The Ruby in Her Navel,Barry Unsworth
Booker,Fiction,2006,Nominee,The Secret River,Kate Grenville
Booker,Fiction,2006,Nominee,The Testament of Gideon Mack,James Robertson
Booker,Fiction,2006,Nominee,Theft: A Love Story,Peter Carey
Booker,Fiction,2006,Nominee,Gathering the Water,Robert Edric
Booker,Fiction,2006,Nominee,Seven Lies,James Lasdun
Booker,Fiction,2006,Nominee,The Perfect Man,Naeem Murr
Booker,Fiction,2006,Nominee,Be Near Me,Andrew O'Hagan
Booker,Fiction,2006,Nominee,Mother's Milk,Edward St Aubyn
Booker,Fiction,2006,Nominee,So Many Ways to Begin,Jon McGregor
Booker,Fiction,2005,Nominee,Slow Man,J. M. Coetzee
Booker,Fiction,2005,Nominee,Never Let Me Go,Kazuo Ishiguro
Booker,Fiction,2005,Nominee,Saturday,Ian McEwan
Booker,Fiction,2005,Nominee,On Beauty,Zadie Smith
Booker,Fiction,2005,Nominee,Shalimar the Clown,Salman Rushdie
Booker,Fiction,2005,Nominee,The Accidental,Ali Smith
Booker,Fiction,2005,Nominee,Arthur & George,Julian Barnes
Booker,Fiction,2005,Nominee,The Harmony Silk Factory,Tash Aw
Booker,Fiction,2005,Nominee,In the Fold,Rachel Cusk
Booker,Fiction,2005,Nominee,All For Love,Dan Jacobson
Booker,Fiction,2005,Nominee,The People's Act of Love,James Meek
Booker,Fiction,2005,Nominee,This is the Country,William Wall
Booker,Fiction,2005,Nominee,This Thing of Darkness,Harry Thompson
Booker,Fiction,2004,Nominee,Cloud Atlas,David Mitchell
Booker,Fiction,2004,Nominee,Jonathan Strange & Mr Norrell,Susanna Clarke
Booker,Fiction,2004,Nominee,Bitter Fruit,Achmat Dangor
Booker,Fiction,2004,Nominee,Maps for Lost Lovers,Nadeem Aslam
Booker,Fiction,2004,Nominee,Purple Hibiscus,Chimamanda Ngozi Adichie
Booker,Fiction,2004,Nominee,Sixty Lights,Gail Jones
Booker,Fiction,2004,Nominee,The Great Fire,Shirley Hazzard
Booker,Fiction,2004,Nominee,The Electric Michaelangelo,Sarah Hall
Booker,Fiction,2004,Nominee,Clear: A Transparent Novel,Nicola Barker
Booker,Fiction,2004,Nominee,The Island Walkers,John Bemrose
Booker,Fiction,2004,Nominee,"Havoc, in Its Third Year",Ronan Bennett
Booker,Fiction,2004,Nominee,Always the Sun,Neil Cross
Booker,Fiction,2004,Nominee,Becoming Strangers,Louise Dean
Booker,Fiction,2004,Nominee,A Blade of Grass,Lewis DeSoto
Booker,Fiction,2004,Nominee,Cooking with Fernet Branca,James Hamilton-Paterson
Booker,Fiction,2004,Nominee,The Honeymoon,Justin Haythe
Booker,Fiction,2004,Nominee,The Unnumbered,Sam North
Booker,Fiction,2004,Nominee,Snowleg,Nicholas Shakespeare
Booker,Fiction,2004,Nominee,Cherry,Matt Thorne
Booker,Fiction,2004,Nominee,I'll Go to Bed at Noon,Gerard Woodward
Booker,Fiction,2003,Nominee,The Curious Incident of the Dog in the Night-Time,Mark Haddon
Booker,Fiction,2003,Nominee,Oryx and Crake,Margaret Atwood
Booker,Fiction,2003,Nominee,Elizabeth Costello,J. M. Coetzee
Booker,Fiction,2003,Nominee,Heligoland,Shena Mackay
Booker,Fiction,2003,Nominee,Something Might Happen,Julie Myerson
Booker,Fiction,2003,Nominee,The Romantic,Barbara Gowdy
Booker,Fiction,2003,Nominee,Astonishing Splashes of Colour,Clare Morrall
Booker,Fiction,2003,Nominee,Turn Again Home,Carol Birch
Booker,Fiction,2003,Nominee,Crossing the Lines,Melvyn Bragg
Booker,Fiction,2003,Nominee,The Taxi Driver's Daughter,Julia Darling
Booker,Fiction,2003,Nominee,The Nick of Time,Francis King
Booker,Fiction,2003,Nominee,Jazz etc,John Murray
Booker,Fiction,2003,Nominee,Frankie & Stankie,Barbara Trapido
Booker,Fiction,2003,Nominee,Waxwings,Jonathan Raban
Booker,Fiction,2003,Nominee,Yellow Dog,Martin Amis
Booker,Fiction,2003,Nominee,A Distant Shore,Caryl Phillips
Booker,Fiction,2003,Nominee,Schopenhauer's Telescope,Gerard Donovan
Booker,Fiction,2003,Nominee,The Light of Day,Graham Swift
Booker,Fiction,2003,Nominee,Judge Savage,Tim Parks
Booker,Fiction,2003,Nominee,The Good Doctor,Damon Galgut
Booker,Fiction,2003,Nominee,Brick Lane,Monica Ali
Booker,Fiction,2002,Nominee,The Story of Lucy Gault,William Trevor
Booker,Fiction,2002,Nominee,Fingersmith,Sarah Waters
Booker,Fiction,2002,Nominee,Any Human Heart,William Boyd
Booker,Fiction,2002,Nominee,Family Matters,Rohinton Mistry
Booker,Fiction,2002,Nominee,Shroud,John Banville
Booker,Fiction,2002,Nominee,Spies,Michael Frayn
Booker,Fiction,2002,Nominee,The Autograph Man,Zadie Smith
Booker,Fiction,2002,Nominee,The Autograph Man,Molle Kanmert Sjölander
Booker,Fiction,2002,Nominee,The Strange Case of Dr Simmonds & Dr Glas,Dannie Abse
Booker,Fiction,2002,Nominee,Critical Injuries,Joan Barfoot
Booker,Fiction,2002,Nominee,The Next Big Thing,Anita Brookner
Booker,Fiction,2002,Nominee,Peacetime,Robert Edric
Booker,Fiction,2002,Nominee,Still Here,Linda Grant
Booker,Fiction,2002,Nominee,The Mulberry Empire,Philip Hensher
Booker,Fiction,2002,Nominee,Who's Sorry Now?,Howard Jacobson
Booker,Fiction,2002,Nominee,Dorian,Will Self
Booker,Fiction,2002,Nominee,To the Last City,Colin Thubron
Booker,Fiction,2002,Nominee,If Nobody Speaks of Remarkable Things,Jon McGregor
Booker,Fiction,2001,Nominee,Oxygen,Andrew Miller
Booker,Fiction,2001,Nominee,The Amber Spyglass,Philip Pullman
Booker,Fiction,2001,Nominee,Atonement,Ian McEwan
Booker,Fiction,2001,Nominee,How to Be Good,Nick Hornby
Booker,Fiction,2001,Nominee,Number9dream,David Mitchell
Booker,Fiction,2001,Nominee,Half a Life,V. S. Naipaul
Booker,Fiction,2001,Nominee,Hotel World,Ali Smith
Booker,Fiction,2001,Nominee,The Death of Vishnu,Manil Suri
Booker,Fiction,2001,Nominee,The Pickup,Nadine Gordimer
Booker,Fiction,2001,Nominee,If the Invader Comes,Derek Beaven
Booker,Fiction,2001,Nominee,A Son of War,Melvyn Bragg
Booker,Fiction,2001,Nominee,Shamrock Tea,Ciaran Carson
Booker,Fiction,2001,Nominee,Dogside Story,Patricia Grace
Booker,Fiction,2001,Nominee,Wolfy and the Strudelbakers,Zvi Jagendorf
