prize,category,year,status,title,author
Pulitzer,Fiction,2016,Nominee,Maud's Line,Margaret Verble
Pulitzer,Fiction,2017,Winner,The Underground Railroad,Colson Whitehead
Pulitzer,Fiction,2017,Nominee,Imagine Me Gone,Adam Haslett
Pulitzer,Fiction,2017,Nominee,The Sport of Kings,C. E. Morgan
Pulitzer,Fiction,2018,Winner,Less,Andrew Sean Greer
Pulitzer,Fiction,2018,Nominee,In the Distance,Hernan Diaz
Pulitzer,Fiction,2018,Nominee,The Idiot,Elif Batuman
Pulitzer,Fiction,2019,Winner,The Overstory,Richard Powers
Pulitzer,Fiction,2019,Nominee,The Great Believers,Rebecca Makkai
Pulitzer,Fiction,2019,Nominee,There There,Tommy Orange
Pulitzer,Fiction,2020,Winner,The Nickel Boys,Colson Whitehead
Pulitzer,Fiction,2020,Nominee,The Dutch House,Ann Patchett
Pulitzer,Fiction,2020,Nominee,The Topeka School,Ben Lerner
Pulitzer,Fiction,2021,Winner,The Night Watchman,Louise Erdrich
Pulitzer,Fiction,2021,Nominee,A Registry of My Passage Upon the Earth,Daniel Mason
Pulitzer,Fiction,2021,Nominee,Telephone,Percival Everett
Pulitzer,Fiction,2022,Winner,The Netanyahus: An Account of a Minor and Ultimately Even Negligible Episode in the History of a Very Famous Family,Joshua Cohen
Pulitzer,Fiction,2022,Nominee,Monkey Boy,Francisco Goldman
Pulitzer,Fiction,2022,Nominee,Palmares,Gayl Jones
Pulitzer,Fiction,2023,Winner,Demon Copperhead,Barbara Kingsolver
Pulitzer,Fiction,2023,Nominee,Trust,Hernan Diaz
Pulitzer,Fiction,2023,Nominee,The Immortal King Rao,Vauhini Vara
Pulitzer,Fiction,2024,Winner,Night Watch,Jayne Anne Phillips
Pulitzer,Fiction,2024,Nominee,Same Bed Different Dreams,Ed Park
Pulitzer,Fiction,2024,Nominee,Wednesday's Child,Yiyun Li
Pulitzer,Fiction,2025,Winner,James,Percival Everett
Pulitzer,Fiction,2025,Nominee,Headshot: A Novel,Rita Bullwinkel
Pulitzer,Fiction,2025,Nominee,Mice 1961,Stacey Levine
Pulitzer,Fiction,2025,Nominee,The Unicorn Woman,Gayl Jones
